region_list,model_name,area,BGC_GPP,model_log10ratio,burke_growth_log10ratio,burke_level_log10ratio,newell_growth_log10ratio,newell_level_log10ratio
Myanmar,ACCESS-ESM1-5,645900986368.0,6.424683963657476,-0.09037966044745385,-5.891681035936702,-0.17763164889396016,0.015904422739897846,-0.14384463534744296
Namibia,ACCESS-ESM1-5,885138556928.0,1.3629793673389625,-0.26497764495337683,-7.583357365476035,-0.23387564432809818,-0.47282273654238627,-0.23456311983546552
Nepal,ACCESS-ESM1-5,127588687872.0,6.236157643395987,-0.04763163269988536,-1.7253841868684672,-0.03264838884769161,-0.005501731699862206,0.0057662601385327986
Netherlands,ACCESS-ESM1-5,18132852736.0,3.9118597587325854,0.04486957095070677,-1.3361515988950998,-0.013501136890619084,-0.166132924044398,-0.003718319016348481
New Zealand,ACCESS-ESM1-5,169853675520.0,4.938264458514285,0.04594860811095501,-0.6889627052968977,-0.014091106838061402,0.010407006875466756,-0.0008899252706390224
Nicaragua,ACCESS-ESM1-5,141258346496.0,5.579427058143019,-0.9436907159069536,-13.584351165727817,-0.41718891426353527,-0.7035662986671752,-0.44473920507757103
Niger,ACCESS-ESM1-5,1158552934400.0,0.2179342571259998,-0.31616564527261387,0.19605890051817415,-0.2629453184261606,0.7453838556518819,-0.22655136226995032
Nigeria,ACCESS-ESM1-5,912721803264.0,5.308709160618646,-0.1215024799510772,-6.907941332835509,-0.25873556369973705,0.0015718481987810483,-0.17154276689555448
North Korea,ACCESS-ESM1-5,133131632640.0,5.121847600817212,0.049857342446226076,0.551143650846845,-0.010252250807334417,0.17236803380387233,0.03631023992271355
North Macedonia,ACCESS-ESM1-5,43561242624.0,4.3561308959614395,-0.061521529316101206,-3.946001510242841,-0.06481160777429233,-0.8350251892551331,-0.03731483016854516
Norway,ACCESS-ESM1-5,360365719552.0,1.0438166091454806,0.16982204464292336,6.132361019273345,0.12889975122079497,0.5945970159846135,0.09613025448114346
Pakistan,ACCESS-ESM1-5,825661624320.0,0.827648470562216,-0.01846454384301986,-2.160145236122633,-0.08701651045612106,-0.03714543647712709,-0.06284536828489158
Panama,ACCESS-ESM1-5,57265197056.0,6.456290116693852,-0.06748922768881993,-6.185918009065627,-0.19698201710671998,-0.939585243749411,-0.2309742084662432
Papua New Guinea,ACCESS-ESM1-5,345310007296.0,10.554977632177193,0.018067645438893484,-5.55522756081937,-0.14309337453409104,-0.014602256310252006,-0.09033691659574064
Paraguay,ACCESS-ESM1-5,400272748544.0,6.884611752338641,-0.09886505265258062,-5.47747677163797,-0.2064022920686596,0.0209648245881137,-0.1779060655062295
Peru,ACCESS-ESM1-5,1310632603648.0,8.94119151265771,-0.01211677430554636,-5.35809359853349,-0.16654200500682675,-0.06262265600507175,-0.14445331694666175
Philippines,ACCESS-ESM1-5,113047056384.0,3.927386371806458,-0.09086796906498379,-5.607582924966973,-0.16318114394371613,-0.02370172678853205,-0.09164447841597997
Poland,ACCESS-ESM1-5,302224489472.0,4.238890018326889,0.03782533172490658,-1.4600210639095552,-0.025332453423882018,-0.34370098283736794,-0.02091748390506859
Portugal,ACCESS-ESM1-5,89549074432.0,4.3486242708880605,-0.09524531011494045,-5.604834496224131,-0.19175061238074542,-0.9368667048529252,-0.18059257036991416
Romania,ACCESS-ESM1-5,220785795072.0,4.717296137476963,-0.03175249212620085,-2.9002174334490722,-0.04159604475241344,-0.6831733167468478,-0.01883334321977831
Russia,ACCESS-ESM1-5,16583658663424.0,1.6828031335416884,0.1277253155187655,8.614378425851388,0.11558342755075394,0.5586194913531253,0.0927391005380104
S. Sudan,ACCESS-ESM1-5,660530290688.0,6.370905760469713,-0.32402945226620117,-7.276494349198551,-0.22822197429285004,-0.007483561128622877,-0.16259557181104542
Senegal,ACCESS-ESM1-5,139899897856.0,0.2489116424242511,-0.6112416196762376,-15.665415376771865,-0.4071313574875335,-0.7783365022326973,-0.3136108097186107
Serbia,ACCESS-ESM1-5,62770176000.0,5.372444772661241,-0.07312498714474154,-3.168135085946994,-0.03867816233408439,-0.7647969984433024,-0.017251732006341128
Sierra Leone,ACCESS-ESM1-5,57354520576.0,7.082351604386913,-0.13423672197915812,-6.897131602602342,-0.30144143096343673,-0.2567101640446131,-0.2446713230052458
Slovakia,ACCESS-ESM1-5,38202183680.0,5.700353311536,-0.018603696952968683,-1.591251297583845,-0.047408147480363406,-0.2101771513014524,-0.027247197904678444
Slovenia,ACCESS-ESM1-5,20032968704.0,5.967716424632296,0.00588300825491077,-1.5956597186155261,-0.02731501608377726,-0.27061265105110144,3.1182630207426264e-05
Somalia,ACCESS-ESM1-5,461197248512.0,1.2429344996567129,-0.2772158242430251,-4.89466910172086,-0.2229994760218122,-0.023864915748502573,-0.1593675506752271
Somaliland,ACCESS-ESM1-5,228210020352.0,0.11972719640600994,-0.16410314275194043,-4.6450006827937,-0.034995432780598044,0.19607789359826988,0.016216937172330557
South Africa,ACCESS-ESM1-5,1265222434816.0,3.5433481874475836,-0.009245580773337729,-4.0635849137718,-0.14827157778991004,-0.1262772287286849,-0.1250712752016616
South Korea,ACCESS-ESM1-5,46345766912.0,4.964867745944211,0.020277949789974537,-1.4573939498057793,-0.0648094200208853,-0.050487919684205934,-0.013213171145781848
Spain,ACCESS-ESM1-5,442006788096.0,3.2743346805939653,-0.13527679586643712,-5.894867033026983,-0.22674776461828683,-1.003636737572664,-0.21228535075365834
Sri Lanka,ACCESS-ESM1-5,86152097792.0,3.7950386284294937,-0.16317467024165883,-5.995933722764612,-0.22218528057239154,0.11983220532621652,-0.13636490472310642
Sudan,ACCESS-ESM1-5,1835557609472.0,1.0056036275022593,-0.3682405068824203,-6.962453933590338,-0.24557551969050428,0.005779225233047961,-0.19658526792109182
Suriname,ACCESS-ESM1-5,115617189888.0,9.363478422054188,-0.4066237652593597,-13.575731493565769,-0.3439599302828587,-0.6168749452849839,-0.2967662655196682
Sweden,ACCESS-ESM1-5,434467048448.0,1.9165669999157149,0.16281578630559004,3.3297505452789915,0.07275725221369163,0.24223881370207584,0.07158420715885697
Switzerland,ACCESS-ESM1-5,59176343552.0,5.807682149739295,0.021123136178799004,-0.8932589908061707,-0.00324494382188242,-0.23745848682546236,-0.003550942341041468
Syria,ACCESS-ESM1-5,165723764736.0,1.2303354092350274,-0.11259781360947026,-5.080527730974433,-0.10549201629203744,-0.7711826048134858,-0.09405732990073454
Tajikistan,ACCESS-ESM1-5,158921107456.0,1.286782764819851,0.021254597492718633,3.19876330754647,0.06278631087542284,0.1993352972694603,0.05194375644783622
Tanzania,ACCESS-ESM1-5,920502028288.0,6.524468722583743,-0.029041249418167974,-5.476947190048568,-0.20041861249459308,-0.019561729111589377,-0.1782669408575443
Thailand,ACCESS-ESM1-5,474431395840.0,6.7716765704572905,-0.16342973806643424,-7.613335956852821,-0.2594140938809198,-0.18380762206630813,-0.20226884560637343
Turkey,ACCESS-ESM1-5,762791931904.0,3.2632299295636216,-6.323739430486951e-05,-2.0165966539429343,-0.026413624835383592,-0.23771234586334233,-0.018849624292992147
Turkmenistan,ACCESS-ESM1-5,473502216192.0,0.18837674450222763,0.03552764560074791,-1.5653950133409558,-0.09490646125785841,0.011857382123860966,-0.06396978846872145
Uganda,ACCESS-ESM1-5,260590014464.0,8.033948506826594,-0.04189888292286989,-5.806816099277459,-0.13674939060310443,0.03542052729687656,-0.11882278328170164
Ukraine,ACCESS-ESM1-5,586703634432.0,3.8865701645947555,-0.00703077025382394,-1.904921653040822,-0.033458499429311936,-0.23947466318042926,-0.01539346490901326
United Kingdom,ACCESS-ESM1-5,187274917888.0,3.5145691907228342,0.061989380590860246,-0.9481785259337988,0.012666930132505555,-0.08912078841316687,0.023046014935092254
United States of America,ACCESS-ESM1-5,9333100793856.0,3.029219405924777,-0.004903609987547842,-1.1183775967095322,-0.018143457734255308,0.02314606337084462,0.002704398163565291
Uruguay,ACCESS-ESM1-5,170327582720.0,6.733479038371586,0.026564512651260457,-2.5895386507240987,-0.11430114056649218,0.028316646714866563,-0.06804925112677931
Uzbekistan,ACCESS-ESM1-5,453770321920.0,0.5611568003947286,-0.02070357556722559,-0.5506196700486542,0.022625349340496967,0.14843774631477524,0.04848024145167237
Venezuela,ACCESS-ESM1-5,833392234496.0,7.038161486670359,-0.25758588297376056,-9.773220658544108,-0.2526352889363907,-0.5275202117086428,-0.20413716496567672
Vietnam,ACCESS-ESM1-5,302002673664.0,7.284921237165291,-0.07762125560777744,-6.102315737280078,-0.19707066892740532,-0.19621953980924764,-0.16158824385705972
Zambia,ACCESS-ESM1-5,759975708672.0,7.2639562161964655,-0.14482215023100162,-7.093998660712384,-0.26671680653183,-0.2853881679293908,-0.23587170206072794
Zimbabwe,ACCESS-ESM1-5,383096807424.0,5.548000370173157,-0.19516560648637113,-7.921847531728615,-0.32302963374333155,-0.604048201237697,-0.24573788647011854
eSwatini,ACCESS-ESM1-5,25982191616.0,6.888255696591733,0.011101948923864546,-4.663985416438098,-0.13190850758635142,-0.0011991296527664218,-0.08201549887442298
Afghanistan,CNRM-ESM2-1,667312807936.0,1.1281739878827566,0.04457269598143596,-4.73743757985808,-0.23018959586908846,-0.24298559429896893,-0.14114470050253153
Albania,CNRM-ESM2-1,18291034112.0,6.153924819030688,-0.0892650456799243,-7.073104721511755,-0.16481571179049967,-1.4089096570367552,-0.05774502119936109
Algeria,CNRM-ESM2-1,2249977524224.0,0.3500773739307722,-0.23192903884340427,-16.251113269861218,-0.4468413662776926,-4.082843930878328,-0.35760576818382145
Angola,CNRM-ESM2-1,1236785991680.0,5.203575177548539,-0.22535976323406165,-9.933339828637818,-0.4165657152658381,-1.7944631740992287,-0.29890816215204896
Argentina,CNRM-ESM2-1,2697814614016.0,4.122396108138359,-0.025199300926529777,-5.159152251279898,-0.09301725957280974,-0.4123974909704856,-0.02690344829223946
Armenia,CNRM-ESM2-1,18679117824.0,2.9353162394870727,-0.025763054901027115,-4.665302299064547,-0.10292573339118773,-0.691489273835014,-0.0020913465395379777
Australia,CNRM-ESM2-1,7577643163648.0,2.291929534939271,-0.21086593929643743,-10.832107424544796,-0.4880795419598766,-2.3263174207949224,-0.3877429948663702
Austria,CNRM-ESM2-1,98482538496.0,4.226854653903899,0.080595362165682,-1.4187907387547019,0.01906286715945655,0.1867171484534132,0.11930618621134752
Azerbaijan,CNRM-ESM2-1,56037353472.0,3.6207758275405033,-0.02414421080981689,-6.553083064417191,-0.22491068130636854,-0.7245966638871159,-0.11104673668954243
Bangladesh,CNRM-ESM2-1,133187508224.0,7.712890395986932,-0.04752312056104395,-7.003371149879098,-0.26121106003647543,-0.8922999780996517,-0.10523006455088235
Belarus,CNRM-ESM2-1,216508904448.0,3.9304390866065027,0.10185304123142279,-1.3053648477586122,0.0813210992808008,0.27244343945980903,0.12811691788654128
Belgium,CNRM-ESM2-1,61597490176.0,5.206190764893019,0.02811329723810235,-2.3813424845979725,-0.05811204161873881,0.04461695910861813,0.006957951317801225
Belize,CNRM-ESM2-1,23226974208.0,8.96302155618192,-0.1400875786339458,-8.776920873857478,-0.2788284018979058,-1.3787440204517163,-0.12682006337127766
Benin,CNRM-ESM2-1,95774992384.0,3.6898456554693966,-0.0755814378645538,-10.185144619553176,-0.30915991734616777,-0.6124980933673281,-0.08167564360885077
Bhutan,CNRM-ESM2-1,43279622144.0,6.449802549668115,0.08079912711029867,-2.3295407092305958,-0.062367220934370526,0.009596902959928957,0.015508214239169624
Bolivia,CNRM-ESM2-1,1118610411520.0,7.092586412646769,-0.0864484089054509,-8.415614841581323,-0.2807710079453178,-1.4569280428612883,-0.21692177810786217
Bosnia and Herz.,CNRM-ESM2-1,52857294848.0,6.104514956289786,-0.021364476642574525,-4.724740918614218,-0.02570471089778546,-0.4231603018825705,0.06685138581510083
Botswana,CNRM-ESM2-1,586588915712.0,1.9674156301611283,-0.5122684678641,-16.443745263839382,-0.7044405246555158,-4.596818028068819,-0.64605068614352
