region_list,model_name,model_cumulative,burke_growth,burke_level,newell_growth,newell_level
Namibia,ACCESS-ESM1-5,-20.78623187050933,-99.99999999944562,-35.00685351312526,-61.34490217079065,-34.93289508350347
Nepal,ACCESS-ESM1-5,-18.41408184782133,-99.72831255510317,-17.946718059291968,-4.138535282795086,-6.961602216956869
Netherlands,ACCESS-ESM1-5,-2.387591685084922,-98.34932457204543,-12.016699521273155,-43.39895678714913,-10.189885093890211
New Zealand,ACCESS-ESM1-5,6.512833672144569,-90.01736796077941,-6.71413576422808,-7.978517742850733,-2.1564868829453356
Nicaragua,ACCESS-ESM1-5,-96.1884998671675,-100.0,-65.18149003547697,-86.34371756838993,-67.18388454780036
Niger,ACCESS-ESM1-5,-44.31161388661488,-99.38720368558536,-24.326255892581038,553.7471135633255,-18.959319773548266
Nigeria,ACCESS-ESM1-5,-20.336376688097456,-99.99999998561965,-41.26462734772199,16.30878620605271,-27.91819792552318
North Korea,ACCESS-ESM1-5,10.271025172861957,222.80268894486164,0.17808316837193416,45.259968270827216,12.768236984061732
North Macedonia,ACCESS-ESM1-5,-16.09782291723493,-99.99936867178427,-22.721883364957172,-91.14066147434173,-15.994922544079248
Norway,ACCESS-ESM1-5,34.41236030026402,703934152.4564924,21.60499840231498,334.35331380204263,14.340652742308613
Pakistan,ACCESS-ESM1-5,-3.2421717409997886,-99.9792500191711,-25.079328711127925,-7.458829181761867,-14.596647680342967
Panama,ACCESS-ESM1-5,-17.609398236453146,-99.99999999175961,-46.28935308012837,-95.48649249989973,-54.20811052997642
Papua New Guinea,ACCESS-ESM1-5,5.110434526784635,-99.99999783907506,-27.633747342741554,-7.585853159078615,-24.20001668261062
Paraguay,ACCESS-ESM1-5,-32.260199314983204,-99.99999751560745,-42.79503985443952,6.050675426349161,-39.104958722825785
Peru,ACCESS-ESM1-5,-0.5896540435292752,-99.999996748644,-32.34847030352154,-8.69222932186886,-28.58664856197136
Philippines,ACCESS-ESM1-5,-15.736094707123893,-99.99999806968461,-19.923676594464045,4.138157800137776,-3.2840988596253173
Poland,ACCESS-ESM1-5,0.0776185007313801,-98.62276638994446,-10.752525737228192,-58.460907865163094,-10.361524240947663
Portugal,ACCESS-ESM1-5,4.507460841448063,-99.9999992234229,-14.776486361828523,-89.28118761285674,-10.240361558853994
Romania,ACCESS-ESM1-5,-12.364916272240823,-99.97068613957512,-20.541666743547925,-83.79993641360744,-15.145195217831592
