region_list,model_name,model_cumulative,burke_growth,burke_growth_5,burke_growth_25,burke_growth_75,burke_growth_95,burke_level,burke_level_5,burke_level_25,burke_level_75,burke_level_95,newell_growth,newell_growth_5,newell_growth_25,newell_growth_75,newell_growth_95,newell_level,newell_level_5,newell_level_25,newell_level_75,newell_level_95
Estonia,CNRM-ESM2-1,6.152567080136628,-58.64049924746577,-99.34062318818697,-89.99644791925921,304.66825444935057,5191.8285858117515,-0.8703331071330256,-8.393868922006387,-3.544486193609331,3.588159155210091,8.119075608766746,250.10584941878932,-99.9945786986753,93.40480386116809,22297.451664605163,5669546.164075669,39.38870071415311,-37.92052454763628,14.41923241011162,62.403966049499445,88.09240214434014
Armenia,CNRM-ESM2-1,-31.399532651885607,-99.9999951217327,-99.9999999494948,-99.99999904180574,-99.99993009267385,-99.9989254373428,-49.92547856395839,-54.56259488364847,-51.46771340690528,-47.11098667048158,-44.128779886628934,-90.73909112873908,-99.99999408258853,-99.99925670605347,-26.672560933638998,33890.27894167301,-34.18009650850135,-61.319362245280125,-43.91933011171473,-25.1253800860749,-12.972512835739218
Latvia,CNRM-ESM2-1,-6.520435869469255,-76.52013720797915,-99.51667729520263,-94.01518213866731,111.44199296649893,1961.3087981842707,-14.898298331157056,-20.82968029458867,-16.96599077072525,-11.303623766906846,-7.542790424885382,187.02882013371595,-99.99609631198761,56.08439798177619,11951.288969274861,4453959.92929597,14.64690085680338,-39.595854295098164,-3.5863500519859843,29.225638810780268,47.16973562337782
Austria,CNRM-ESM2-1,0.14998542301376538,-99.61110096438503,-99.98817601943873,-99.88686516216147,-97.23336596539286,-78.72841122827842,-27.656439764064487,-33.01353048773296,-29.38742408619216,-24.57017716864286,-21.271837005101357,25.189233058439676,-99.9959208549257,-71.48066700472855,356.0204109482299,46574.13337593628,-0.5122987169210003,-44.97003029310155,-19.7217878071527,11.74372604307266,27.10199619450861
Lithuania,CNRM-ESM2-1,-21.632543152499107,-91.18380951396936,-99.81229144174922,-97.65946115246768,-24.38218314167746,625.3572245608859,-16.47864045071633,-22.783520298261962,-18.578311303363026,-12.825306195061136,-9.05462793768006,129.1809520844181,-99.9977428154418,39.55580715128423,6779.364819185872,1892552.0369283701,12.033043625638594,-42.195389238236245,-4.194466476816949,27.408912809021402,42.401384636030926
Belarus,CNRM-ESM2-1,-18.37681819850229,-99.0539954579113,-99.97961224729866,-99.74598145216882,-91.38021774870269,-23.42528856605344,-29.376009203252316,-34.763948983701056,-31.155663546874358,-26.232121043016942,-22.868650967827474,48.9366389967449,-99.99929032787715,-39.06665599822587,2065.753535643595,363775.90699318494,-6.853199830095902,-47.715927128941395,-19.94996388424319,5.6499903708047805,13.260581879681455
Chile,CNRM-ESM2-1,-0.4646037396721536,-99.99988448317224,-99.99999445762265,-99.99996097142831,-99.99932633948502,-99.99569520400472,-36.86705574853404,-40.661161160802564,-38.13675761513105,-34.59279710701618,-32.209300501209526,-84.63413210377792,-99.99991593669183,-99.99050681191336,-30.083439578952294,5810.95437927982,-23.553775310776317,-45.00520661885083,-30.414042790080174,-15.931962430415183,-6.4120978305456955
United States of America,CNRM-ESM2-1,3.401443264872417,-99.99930552762362,-99.99999024698762,-99.99984637864259,-99.99234875769561,-99.90754333327789,-33.264024926516676,-38.11548710279289,-34.98747820001543,-30.66899319870996,-27.67083499698979,-17.59626471038946,-99.99998628512905,-99.65510598609791,53.23566968032609,31004.090441056484,-13.080497170709211,-47.17793550963105,-23.228434187769388,3.875377600525365,13.06777111816744
Kazakhstan,CNRM-ESM2-1,162.3410323602537,-99.94212614494066,-99.99952403499991,-99.98959491119341,-99.04682374363361,-81.57779580920001,-27.492832385641663,-34.56039976870245,-30.137675157090104,-23.36010916885608,-18.87348021492278,97.54899881818287,-99.99999689154278,-49.86351022069849,1327.4062970449475,1477406.2035684832,12.812388417161092,-57.815219940314805,-13.281907277630992,47.51073810379026,77.14435860702012
Czechia,CNRM-ESM2-1,-36.61601179631933,-99.98145040523791,-99.99942018835158,-99.99457820606371,-99.86902311868776,-99.04534032157362,-34.91218130476991,-39.54482239272645,-36.51100613382713,-32.126478551902004,-29.131109150627733,-5.22167005164258,-99.99974348543122,-96.41931279626061,118.26237265116396,11280.405610539243,-11.22130611931944,-49.86869987923262,-27.121901782611747,1.0414009379825007,17.14736931925001
New Zealand,CNRM-ESM2-1,1.8864348557390276,-99.72662378332514,-99.98190029464412,-99.90069222986558,-98.87980866671687,-94.79687851501569,-25.538632487530876,-29.389294076724504,-26.856441004446154,-23.422993087668075,-21.074461471229,-19.058731751349377,-99.99600607710319,-93.38459967728288,79.28094748211859,10281.981707236659,-11.359872294477668,-37.87895284345748,-18.355581211971675,0.5787162787995126,7.630517111486692
Bhutan,CNRM-ESM2-1,1.5747834101329516,-99.96538571467889,-99.99896236251932,-99.99081833211348,-99.78045602213386,-98.38328234543324,-35.37303996258506,-39.92407081957684,-37.0307589494755,-32.89230391355936,-30.07407177108413,-17.19605597766305,-99.99987619247217,-96.64391623766693,110.74726985528625,38609.99184121041,-18.1528812192305,-47.44898426057956,-25.750155007280856,0.6573338978495213,10.507547322777027
Kosovo,CNRM-ESM2-1,-45.20158745540409,-99.99999717488463,-99.99999992450303,-99.99999929011574,-99.9999782682661,-99.99981549802501,-53.28342100512333,-57.47998084746697,-54.70733475374138,-50.74013816593283,-47.95972405822992,-94.46823758281259,-99.99999700110517,-99.9994076871873,-39.59077951793526,7603.959443005151,-42.42087505663993,-62.03526113107586,-46.617031864472196,-36.136958357313205,-18.18967019400384
Poland,CNRM-ESM2-1,-10.255958067154925,-99.9050290836903,-99.99724366963656,-99.97283967648242,-99.3035797277289,-94.64908004582637,-26.704633381877628,-31.84957899630696,-28.497551405290245,-23.82724325011054,-20.57876722309101,30.53893026863913,-99.99995362393503,-57.610867034466494,266.79575192441473,78334.06488304451,-0.6209575239124021,-47.45147904506138,-16.385925528206343,15.593211016689196,33.48072372373499
Montenegro,CNRM-ESM2-1,-36.049459266267924,-99.99999575531216,-99.99999987025953,-99.99999891412556,-99.99996939317542,-99.99976404469618,-48.29838656035118,-52.829391645384625,-49.833444897460254,-45.62364668561061,-42.7759024445597,-89.08034316956542,-99.99999828150027,-99.99695984276939,-30.4761242172138,6408.62437096857,-33.246877766045756,-58.87893389637084,-39.02976720601243,-22.8901546355399,-8.329991580955646
Slovakia,CNRM-ESM2-1,-24.681971939961013,-99.99575816070472,-99.99990145580918,-99.99897923625853,-99.96615582228134,-99.71466304232199,-28.92699147412088,-35.104199813271364,-31.211936736143585,-25.41415298801907,-21.627298127146766,-6.2970990160771345,-99.99999598127226,-95.48658108082219,73.0563326825345,11143.852256058002,0.10119490961332245,-53.78723686875647,-15.565239061961206,25.67100293312134,47.07112696071049
